name,operator,operator:wikidata,Street Address,addr:housenumber,addr:street,addr:unit,description,addr:city,addr:state,addr:postcode,Phone Number,phone,Access Days Time,opening_hours,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,network,network:wikidata,network:website,Latitude,Longitude,EV Connector Types,,,socket:type1,socket:type1_combo,socket:chademo,socket:nacs
WARNER ROBINS PUBLIC 1,,,002 Myrtle St,002,Myrtle Street,,,Warner Robins,GA,31093,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.61957,-83.60671,J1772,,,yes,,,
SAVANNAH 1 EASTERN WHARF 7,,,1 Altamaha St,1,Altamaha Street,,"Enter parking garage from passage way, turn left into parking garage, parking spot number 315",Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07758,-81.08013,J1772,,,yes,,,
SAVANNAH 1 EASTERN WHARF 4,,,1 Altamaha St,1,Altamaha Street,,"Enter parking garage from passage way, turn left in garage, parking spot number 317",Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07757,-81.08014,J1772,,,yes,,,
SAVANNAH 1 EASTERN WHARF 6,,,1 Altamaha St,1,Altamaha Street,,Parking space 315,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07757,-81.08013,J1772,,,yes,,,
SAVANNAH 1 EASTERN WHARF 5,,,1 Altamaha St,1,Altamaha Street,,Parking space 316,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.0776,-81.08015,J1772,,,yes,,,
SAVANNAH 1 EASTERN WHARF 3,,,1 Altamaha St,1,Altamaha Street,,,Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07762,-81.08013,J1772,,,yes,,,
SAVANNAH 1 EASTERN WHARF 1,,,1 Altamaha St,1,Altamaha Street,,"Enter parking garage from passage way, turn left in garage, parking spot 320",Savannah,GA,31401,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,1,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,32.07764,-81.0801,J1772,,,yes,,,
The Collective at 1 Concourse,,,1 Concourse Pkwy,1,Concourse Parkway,,,Atlanta,GA,30328,888-998-2546,+1-888-998-2546,24 hours daily,24/7,,4,,,Blink Network,Blink,Q62065645,https://blinkcharging.com,33.91625,-84.35365,J1772,,,yes,,,
Signature Flight Support PDK - Tesla Destination,,,1 Corsair Dr Ste 108,1,Corsair Drive,108,,Atlanta,GA,30341,877-798-3752,+1-877-798-3752,,,,1,,,Tesla Destination,Tesla,Q121223733,https://www.tesla.com/destination-charging,33.88401,-84.3027,TESLA,,,,,,yes
Pugmire Ford of Carrollton,Ford Motor Company,Q44294,1 Ford Way,1,Ford Way,,,Carrollton,GA,30116,770-832-2457,+1-770-832-2457,24 hours daily,24/7,,,4,,FORD_CHARGE,BlueOval,Q44294,https://www.ford.com/support/category/electric-vehicle/charging/public-charging/,33.59751,-85.03734,J1772COMBO,,,,yes,,
Savannah Harley-Davidson,"Harley-Davidson, Inc.",Q192814,1 Fort Argyle Rd,1,Fort Argyle Road,,,Savannah,GA,31324,912-925-0005,+1-912-925-0005,24 hours daily,24/7,,1,,,Non-Networked,,,,32.00348,-81.28664,J1772,,,yes,,,
SANDY SPRINGSEV CITY SPRINGS 3,,,1 Galambos Way,1,Galambos Way,,,Sandy Springs,GA,30328,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.92471,-84.38042,J1772,,,yes,,,
SANDY SPRINGSEV CITY SPRINGS 2,,,1 Galambos Way,1,Galambos Way,,,Sandy Springs,GA,30328,888-758-4389,+1-888-758-4389,24 hours daily,24/7,,2,,,ChargePoint Network,ChargePoint,Q5176149,https://www.chargepoint.com,33.92471,-84.38043,J1772,,,yes,,,
