id,locationId,name,status,start_date,capacity,elevation,socket:nacs:output,socket:type1_combo:output,facilityName,ref:plugshare,address.street,addr:city,addr:state,addr:postcode,addr:country,Latitude,Longitude,access,access:conditional,socket:nacs,capacity:disabled,socket:type1_combo,capacity
7789,409143,"Atlanta - Buckhead Loop NE, GA",PERMIT,,16,296,250,,,,3495 Buckhead Loop NE,Atlanta,GA,30326,USA,33.849935,-84.371385,,,0,,,
7368,,"Duluth - Satellite Blvd, GA",CLOSED_PERM,,8,304,250,,,,3380 Satellite Blvd,Duluth,GA,30096,USA,33.963775,-84.129045,,,0,,,
5562,14869,Tesla Supercharger,OPEN,2023-03-22,16,315,250,,,,118 E Ponce de Leon Ave,Decatur,GA,30030,US,33.776189,-84.295612,no,yes @ tesla_vehicles,16,,,16
8943,4003106,"East Ellijay, GA",PLAN,,0,428,250,,Lowe's Home Improvement,,380 Highland Crossing,East Ellijay,GA,30540,USA,34.660016,-84.488559,,,,,,
8971,19327,"Fayetteville, GA",PLAN,,0,277,250,,,,1135 GA-85,Fayetteville,GA,30214,USA,33.472454,-84.442742,,,,,,
8976,27402,"Thomasville, GA",PLAN,,0,81,250,,Lowe's Home Improvement,,13911 US-19,Thomasville,GA,31792,USA,30.839935,-83.945568,,,,,,
142,tiftonsupercharger,Tesla Supercharger,OPEN,2014-07-10,8,93,150,,,52273,1204 U.S. 82,Tifton,GA,31794,US,31.448847,-83.53221,no,yes @ tesla_vehicles,8,,,8
140,,"Macon, GA",CLOSED_PERM,,8,98,150,,,,450 Martin Luther King Jr Blvd,Macon,GA,31201,USA,32.8334275,-83.6255567,,,,,,
141,,"Savannah, GA",CLOSED_PERM,,8,6,125,,,,400 Airways Ave,Savannah,GA,31408,USA,32.135507,-81.212767,,,,,,
725,kingslandsupercharger,Tesla Supercharger,OPEN,2015-11-18,8,9,150,,Kingsland Welcome Center,,1190 East Boone Ave,Kingsland,GA,31548,US,30.790764,-81.663729,no,yes @ tesla_vehicles,8,,,8
854,augustagasupercharger,Tesla Supercharger,OPEN,2016-06-12,8,89,150,,,,1069 Stevens Creek Rd,Augusta,GA,30907,US,33.515004,-82.044443,no,yes @ tesla_vehicles,8,,,8
1702,atlantapeachtreesupercharger,Tesla Supercharger,OPEN,2018-09-01,5,299,72,,,,3393 Peachtree Rd,Atlanta,GA,30326,US,33.848756,-84.36434,no,yes @ tesla_vehicles,5,,,5
1671,,"Alpharetta (SC), GA",CLOSED_PERM,,2,340,72,,,,1400 Upper Hembree Rd,Roswell,GA,30076,USA,34.067199,-84.318835,,,,,,
1617,atlantalenoxrdsupercharger,Tesla Supercharger,OPEN,2018-08-24,16,291,72,,,,3393 Peachtree Rd NE,Atlanta,GA,30326,US,33.846445,-84.360194,no,yes @ tesla_vehicles,16,,,16
1790,macongarivergatesupercharger,Tesla Supercharger,OPEN,2018-12-23,10,113,150,,,,265 Tom Hill Sr Rd,Macon,GA,31210,US,32.897259,-83.689432,no,yes @ tesla_vehicles,10,,,10
1786,augustagabelairsupercharger,Tesla Supercharger,OPEN,2018-12-15,10,152,150,,,175322,4329 Belair Frontage Rd,Augusta,GA,30909,US,33.481657,-82.130253,no,yes @ tesla_vehicles,10,,,10
2007,lithoniageorgiasupercharger,Tesla Supercharger,OPEN,2019-10-17,12,275,150,,,,3045 Panola Rd,Lithonia,GA,30038,US,33.69893,-84.173181,no,yes @ tesla_vehicles,12,,,12
2058,acworthsupercharger,Tesla Supercharger,OPEN,2019-08-19,12,297,150,,,,3500 Baker Rd,Acworth,GA,30101,US,34.075443,-84.652009,no,yes @ tesla_vehicles,12,,,12
2149,alpharettagasupercharger,Tesla Supercharger,OPEN,2020-01-08,10,336,72,,,,5185 1st St,Alpharetta,GA,30009,US,34.071582,-84.275404,no,yes @ tesla_vehicles,10,,,10
407,,"Decatur (SC), GA",CLOSED_PERM,,4,310,120,,,,1580 Church St,Decatur,GA,30033,USA,33.793217,-84.285379,,,,,,
1603,athensgasupercharger,Tesla Supercharger,OPEN,2018-05-18,10,224,150,,,,1791 Oconee Connector,Athens,GA,30606,US,33.916675,-83.452965,no,yes @ tesla_vehicles,10,,,10
1349,bufordsupercharger,Tesla Supercharger,OPEN,2018-11-06,10,327,150,,,,1705 Mall of Georgia Blvd,Buford,GA,30519,US,34.061572,-83.994606,no,yes @ tesla_vehicles,10,,,10
277,2251,Tesla Supercharger,OPEN,2014-12-18,30,268,250,,,,1380 Atlantic Dr,Atlanta,GA,30363,US,33.793808,-84.397203,no,yes @ tesla_vehicles,20,,,20
3518,dublingasuperchargerq422,Tesla Supercharger,OPEN,2022-09-29,12,86,250,,,,"2180 Us Hwy 441 South, GA-404",Dublin,GA,31021,US,32.490203,-82.93261,no,yes @ tesla_vehicles,12,,,12
5524,AshburnGAQ322,Tesla Supercharger,OPEN,2022-11-18,16,131,250,,,,823 E Washington Ave,Ashburn,GA,31714,US,31.712344,-83.638266,no,yes @ tesla_vehicles,16,,,16
7797,19359,Tesla Supercharger,OPEN,2024-04-15,12,333,250,,The Centre On Hugh Howell,604510,4420 Hugh Howell Rd,Tucker,GA,30084,US,33.852378,-84.207439,yes,,12,1,,12
2166,mettersupercharger,Tesla Supercharger,OPEN,2019-11-27,8,58,250,,,,1118 S Lewis St,Metter,GA,30349,US,32.378566,-82.062539,yes,,8,,,8
2429,brunswickgasupercharger,Tesla Supercharger,OPEN,2020-08-18,24,9,250,,,,500 Millennium Blvd,Brunswick,GA,31525,US,31.245874,-81.501667,yes,,24,,,24
2477,valdostagasupercharger,Tesla Supercharger,OPEN,2020-10-11,8,61,250,,,,2112 W Hill Ave,Valdosta,GA,31601,US,30.81732,-83.320889,yes,,8,,,8
9445,424260,Tesla Supercharger,OPEN,2025-02-28,12,366,325,,,,3885 Mundy Mill Rd,Oakwood,GA,30566,US,34.232823,-83.874836,yes,,12,1,,12
8164,27239,"Chamblee, GA",PLAN,,16,307,325,,Lowe's Home Improvement,645190,4950 Peachtree Blvd,Chamblee,GA,30341,USA,33.884851,-84.316491,,,16,1,,
8276,58988,Tesla Supercharger,OPEN,2024-10-15,8,83,325,,Starbucks,646793,3172 Macon Rd,Columbus,GA,31906,US,32.480038,-84.943322,yes,,8,1,,8
3290,ColumbusGAsupercharger,Tesla Supercharger,OPEN,2021-04-20,12,129,250,,Target,316148,1591 Bradley Park Dr,Columbus,GA,31904,US,32.533485,-84.971362,yes,,12,1,,12
8342,59141,Tesla Supercharger,OPEN,2024-11-01,8,303,325,,Starbucks,,8500 Holcomb Bridge Rd,Alpharetta,GA,30022,US,33.987845,-84.273087,yes,,8,1,,8
8946,58952,"Alpharetta - Windward Pkwy, GA",PLAN,,16,338,325,,Windward Commons,,12850 GA-9,Alpharetta,GA,30004,USA,34.095338,-84.279292,,,16,1,,
8944,424908,"Cumming - Lakeland Plaza, GA",PERMIT,,16,388,325,,Lakeland Plaza,,525 Lakeland Plaza,Cumming,GA,30040,USA,34.18507,-84.142217,,,16,1,,
7532,19280,"Covington, GA",CLOSED_TEMP,,28,235,325,,QuikTrip,618240,11184 GA-142,Covington,GA,30014,USA,33.608864,-83.825879,,,28,1,28,
7633,32441,"Dalton, GA",VOTING,,28,255,325,,IHOP,,1510 W Walnut Ave,Dalton,GA,30720,USA,34.760995,-84.995285,,,28,2,,
2572,peachtreecornersgasupercharger,Tesla Supercharger,OPEN,2020-12-04,12,305,250,,,,5220 Town Center Blvd,Peachtree Corners,GA,30092,US,33.978802,-84.214918,yes,,12,,,12
2668,NewnanGAsupercharger,Tesla Supercharger,OPEN,2021-03-17,12,285,250,,,,555 Bullsboro Dr,Newnan,GA,30265,US,33.393341,-84.759097,yes,,12,,,12
